iter	Passed	Remaining
0	18	18360
1	25	12704
2	31	10614
3	38	9603
4	45	9151
5	53	8827
6	59	8489
7	67	8364
8	74	8225
9	81	8025
10	87	7874
11	96	7906
12	103	7850
13	111	7870
14	118	7811
15	125	7735
16	131	7625
17	137	7524
18	144	7472
19	151	7429
20	158	7378
21	164	7320
22	171	7299
23	180	7358
24	187	7322
25	199	7477
26	208	7497
27	218	7591
28	229	7671
29	236	7644
30	244	7653
31	251	7606
32	259	7617
33	267	7595
34	275	7585
35	282	7562
36	292	7611
37	300	7616
38	309	7620
39	316	7589
40	323	7572
41	330	7537
42	337	7501
43	343	7470
44	350	7433
45	357	7418
46	364	7392
47	371	7374
48	378	7344
49	392	7464
50	399	7430
51	406	7413
52	414	7410
53	422	7397
54	428	7367
55	435	7339
56	442	7323
57	449	7300
58	456	7280
59	463	7262
60	470	7235
61	476	7211
62	483	7193
63	492	7195
64	503	7247
65	512	7248
66	519	7231
67	526	7212
68	532	7184
69	539	7168
70	545	7143
71	552	7126
72	560	7114
73	567	7096
74	575	7094
75	581	7067
76	589	7063
77	596	7046
78	603	7037
79	611	7034
80	619	7026
81	625	6999
82	631	6979
83	639	6972
84	646	6962
85	655	6966
86	661	6946
87	669	6937
88	675	6916
89	682	6896
90	688	6881
91	695	6864
92	702	6854
93	709	6839
94	716	6829
95	724	6819
96	731	6805
97	738	6798
98	745	6784
99	753	6784
100	761	6776
101	768	6768
102	775	6751
103	782	6740
104	789	6727
105	796	6718
106	803	6706
107	809	6689
108	817	6682
109	824	6670
110	831	6661
111	839	6657
112	847	6648
113	853	6633
114	862	6637
115	870	6632
116	876	6616
117	883	6606
118	890	6595
119	897	6584
120	904	6567
121	910	6551
122	917	6544
123	924	6533
124	931	6518
125	937	6501
126	943	6487
127	950	6476
128	957	6464
129	963	6450
130	970	6437
131	977	6425
132	983	6412
133	990	6398
134	996	6386
135	1003	6376
136	1010	6366
137	1018	6360
138	1024	6347
139	1031	6338
140	1038	6325
141	1044	6312
142	1051	6301
143	1057	6286
144	1064	6274
145	1070	6261
146	1077	6252
147	1084	6242
148	1091	6232
149	1097	6219
150	1103	6206
151	1110	6194
152	1116	6182
153	1123	6169
154	1129	6158
155	1135	6145
156	1142	6133
157	1149	6126
158	1155	6113
159	1162	6100
160	1168	6087
161	1174	6077
162	1181	6068
163	1188	6056
164	1195	6047
165	1203	6048
166	1211	6043
167	1218	6035
168	1225	6023
169	1231	6013
170	1237	6001
171	1244	5992
172	1252	5987
173	1259	5980
174	1266	5969
175	1272	5959
176	1279	5950
177	1287	5943
178	1293	5934
179	1300	5923
180	1306	5911
181	1312	5900
182	1319	5891
183	1326	5882
184	1333	5873
185	1339	5862
186	1347	5856
187	1352	5843
188	1359	5833
189	1366	5826
190	1373	5818
191	1380	5808
192	1386	5797
193	1392	5786
194	1399	5778
195	1406	5770
196	1412	5759
197	1420	5752
198	1426	5742
199	1433	5732
200	1439	5724
201	1447	5717
202	1453	5707
203	1460	5698
204	1466	5688
205	1473	5680
206	1480	5672
207	1486	5660
208	1493	5650
209	1499	5640
210	1505	5629
211	1512	5621
212	1518	5611
213	1525	5601
214	1531	5591
215	1538	5582
216	1545	5575
217	1551	5565
218	1558	5556
219	1564	5548
220	1571	5538
221	1577	5529
222	1584	5520
223	1591	5512
224	1598	5504
225	1604	5494
226	1611	5487
227	1618	5478
228	1625	5471
229	1632	5464
230	1638	5454
231	1645	5448
232	1652	5438
233	1658	5430
234	1665	5421
235	1671	5412
236	1678	5402
237	1684	5392
238	1691	5384
239	1697	5376
240	1704	5366
241	1710	5358
242	1717	5349
243	1723	5340
244	1730	5333
245	1737	5325
246	1744	5318
247	1750	5309
248	1757	5300
249	1763	5291
250	1770	5282
251	1776	5273
252	1782	5263
253	1789	5255
254	1795	5247
255	1801	5236
256	1808	5229
257	1816	5224
258	1822	5215
259	1831	5212
260	1838	5206
